goal,difficulty,age,weight_kg,height_cm,gender,activity_level,muscle_group,exercise_name,exercise_type,sets,reps,duration_sec,rest_sec,order_in_workout,met_value,estimated_calories
Maintain Weight,Beginner,32,110,175,male,light,Cardio,Burpees,cardio,2,0,24,48,1,10.0,14.7
Maintain Weight,Beginner,32,110,175,male,light,Core,Russian Twist,strength,2,9,0,48,2,3.5,18.6
Maintain Weight,Beginner,32,110,175,male,light,Chest,Incline Dumbbell Press,strength,2,9,0,48,3,4.5,23.9
Maintain Weight,Beginner,32,110,175,male,light,Legs,Calf Raises,strength,2,9,0,48,4,2.5,13.3
Maintain Weight,Beginner,32,110,175,male,light,Shoulders,Arnold Press,strength,2,9,0,48,5,4.0,21.3
Maintain Weight,Intermediate,19,79,192,female,active,Cardio,Box Jumps,cardio,3,0,30,60,1,10.0,19.8
Maintain Weight,Intermediate,19,79,192,female,active,Core,Plank,strength,3,12,0,60,2,3.5,22.1
Maintain Weight,Intermediate,19,79,192,female,active,Chest,Cable Fly,strength,3,12,0,60,3,3.5,22.1
Maintain Weight,Intermediate,19,79,192,female,active,Legs,Leg Press,strength,3,12,0,60,4,5.0,31.6
Maintain Weight,Intermediate,19,79,192,female,active,Shoulders,Face Pull,strength,3,12,0,60,5,3.0,19.0
Weight Loss,Beginner,44,108,196,female,active,Cardio,Cycling,cardio,2,0,24,24,1,7.5,10.8
Weight Loss,Beginner,44,108,196,female,active,Core,Russian Twist,strength,2,12,0,24,2,3.5,13.9
Weight Loss,Beginner,44,108,196,female,active,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,13.0
Weight Loss,Beginner,44,108,196,female,active,Legs,Romanian Deadlift,strength,2,12,0,24,4,5.0,19.8
Weight Loss,Advanced,54,100,161,male,sedentary,Cardio,Mountain Climbers,cardio,3,0,36,36,1,8.0,24.0
Weight Loss,Advanced,54,100,161,male,sedentary,Core,Crunches,strength,3,18,0,36,2,3.0,21.0
Weight Loss,Advanced,54,100,161,male,sedentary,Full Body,Clean and Press,cardio,3,0,36,36,3,9.0,27.0
Weight Loss,Advanced,54,100,161,male,sedentary,Legs,Squat,strength,3,18,0,36,4,6.0,42.0
Muscle Gain,Intermediate,26,102,156,female,active,Chest,Cable Fly,strength,4,8,0,90,1,3.5,45.2
Muscle Gain,Intermediate,26,102,156,female,active,Back,Lat Pulldown,strength,4,8,0,90,2,3.5,45.2
Muscle Gain,Intermediate,26,102,156,female,active,Legs,Calf Raises,strength,4,8,0,90,3,2.5,32.3
Muscle Gain,Intermediate,26,102,156,female,active,Shoulders,Front Raise,strength,4,8,0,90,4,3.0,38.8
