age,weight_kg,height_cm,bmi,goal,goal_enc,difficulty,diff_enc,category,exercise
56,53.3,188.4,15.0,Weight Loss,0,Beginner,0,Cardio,Running
56,53.3,188.4,15.0,Weight Loss,0,Beginner,0,Cardio,Burpees
56,53.3,188.4,15.0,Weight Loss,0,Beginner,0,Core,Plank
56,53.3,188.4,15.0,Weight Loss,0,Beginner,0,Core,Russian Twist
56,53.3,188.4,15.0,Weight Loss,0,Beginner,0,Full Body,Mountain Climbers
56,53.3,188.4,15.0,Weight Loss,0,Beginner,0,Full Body,Kettlebell Swing
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Cardio,Cycling
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Cardio,Running
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Core,Leg Raises
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Core,Russian Twist
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Chest,Incline Dumbbell Press
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Chest,Bench Press
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Legs,Leg Press
17,52.0,165.5,19.0,Maintain Weight,2,Beginner,0,Legs,Romanian Deadlift
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Chest,Bench Press
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Chest,Push Up
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Back,Bent Over Row
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Back,Lat Pulldown
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Legs,Lunges
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Legs,Calf Raises
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Shoulders,Overhead Press
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Shoulders,Arnold Press
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Arms,Concentration Curl
37,65.8,164.7,24.3,Muscle Gain,1,Beginner,0,Arms,Bicep Curl
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Cardio,Box Jumps
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Cardio,Burpees
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Core,Ab Wheel Rollout
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Core,Russian Twist
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Chest,Bench Press
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Chest,Cable Fly
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Legs,Squat
40,50.9,168.2,18.0,Maintain Weight,2,Advanced,2,Legs,Romanian Deadlift
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Chest,Incline Dumbbell Press
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Chest,Dips
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Back,Deadlift
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Back,Pull Up
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Legs,Romanian Deadlift
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Legs,Squat
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Shoulders,Overhead Press
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Shoulders,Arnold Press
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Arms,Skull Crushers
21,109.1,194.0,29.0,Muscle Gain,1,Advanced,2,Arms,Concentration Curl
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Cardio,Burpees
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Cardio,Box Jumps
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Core,Russian Twist
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Core,Ab Wheel Rollout
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Chest,Bench Press
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Chest,Incline Dumbbell Press
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Legs,Romanian Deadlift
40,65.2,196.6,16.9,Maintain Weight,2,Advanced,2,Legs,Squat
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Cardio,Box Jumps
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Cardio,Burpees
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Core,Russian Twist
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Core,Leg Raises
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Chest,Incline Dumbbell Press
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Chest,Bench Press
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Legs,Romanian Deadlift
20,60.8,197.4,15.6,Maintain Weight,2,Advanced,2,Legs,Squat
53,75.0,164.9,27.6,Weight Loss,0,Beginner,0,Cardio,Running
53,75.0,164.9,27.6,Weight Loss,0,Beginner,0,Cardio,Cycling
53,75.0,164.9,27.6,Weight Loss,0,Beginner,0,Core,Crunches
53,75.0,164.9,27.6,Weight Loss,0,Beginner,0,Core,Russian Twist
53,75.0,164.9,27.6,Weight Loss,0,Beginner,0,Full Body,Kettlebell Swing
53,75.0,164.9,27.6,Weight Loss,0,Beginner,0,Full Body,Mountain Climbers
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Chest,Bench Press
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Chest,Incline Dumbbell Press
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Back,Seated Cable Row
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Back,Bent Over Row
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Legs,Calf Raises
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Legs,Lunges
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Shoulders,Front Raise
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Shoulders,Overhead Press
54,49.8,172.2,16.8,Muscle Gain,1,Beginner,0,Arms,Hammer Curl
